Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
PREFLOP,LOW,LOW,0.5,200.0,0.0,0.0,0.5,100.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.2,125.0,75.0,0.0,0.9,619.4444444444445
PREFLOP,LOW,MEDIUM,0.75,684.1666666666666,1142.7686287647596,0.0,0.25,1200.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.125,300.0
PREFLOP,LOW,LOW,0.6511627906976745,283.57142857142856,290.2457614519398,0.0,0.4186046511627907,523.6111111111111
PREFLOP,LOW,HIGH,0.3333333333333333,40.0,0.0,0.0,0.6666666666666666,400.0
RIVER,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
RIVER,HIGH,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.8,291.375,123.8779010760192,0.0,0.2,420.0
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,285.0,780.8417822381746,0.0,0.0,0.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,965.0833333333334,3170.7876376470804,0.0,0.0,0.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.5925925925925926,762.6041666666666,1082.9157157796903,0.0,0.4567901234567901,399.94594594594594
PREFLOP,LOW,HIGH,1.0,640.0,0.0,0.0,0.0,0.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.6666666666666666,665.8,668.9550757213323,0.0,0.3333333333333333,467.3333333333333
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,320.625,573.0207102496383,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,62.63157894736842,146.27271232595345,0.0,0.05263157894736842,900.0
PREFLOP,LOW,LOW,0.6746987951807228,329.42857142857144,409.00859479018885,0.0,0.42168674698795183,498.25714285714287
PREFLOP,LOW,HIGH,1.0,906.6666666666666,527.9730632859555,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.6666666666666666,750.0,650.0,0.0,0.6666666666666666,225.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3333333333333333,675.5,575.5,0.16666666666666666,0.5,700.0
PREFLOP,LOW,MEDIUM,1.0,480.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3333333333333333,18.0,2.0,0.0,0.6666666666666666,232.0
RIVER,HIGH,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,MEDIUM,1.0,714.2857142857143,1749.6355305594122,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.676923076923077,717.4090909090909,772.0394278138739,0.0,0.4,564.8846153846154
RIVER,LOW,LOW,0.875,0.0,0.0,0.125,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,0.8888888888888888,1680.4375,3430.138243729216,0.05555555555555555,0.05555555555555555,1100.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,8.333333333333334,27.638539919628347,0.0,0.0,0.0
FLOP,LOW,LOW,0.9375,53.36666666666667,191.62506505036225,0.03125,0.03125,48.0
PREFLOP,LOW,LOW,0.5287356321839081,575.0760869565217,1207.981610082592,0.005747126436781609,0.5517241379310345,523.1041666666666
PREFLOP,LOW,HIGH,1.0,2049.6,1203.1840424473723,0.0,0.1,192.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.8095238095238095,325.4117647058824,284.52376284995523,0.0,0.23809523809523808,198.0
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
