Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
FLOP	LOW	LOW	1.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	1.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.823529422283172610	0.000000000000000000	0.176470592617988590	0.000000000000000000	0.00715146	0.0062589	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.750000000000000000	0.083333335816860199	0.166666671633720400	0.000000000000000000	0.00206136	0.00128584	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	1.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	1.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.777777791023254390	0.111111111938953400	0.074074074625968933	0.000000000000000000	0.0028777	0.00231135	0.0	0.037037037312984467	0.00967742	2
FLOP	LOW	LOW	0.777777791023254390	0.000000000000000000	0.222222223877906800	0.000000000000000000	0.014017	0.00450147	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.769230782985687260	0.000000000000000000	0.076923079788684845	0.000000000000000000	0.00921659	0	0.0	0.153846159577369690	0.0120139	2
FLOP	LOW	LOW	0.888888895511627200	0.000000000000000000	0.111111111938953400	0.000000000000000000	0.00172528	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	1.000000000000000000	0.00310296	4
FLOP	LOW	LOW	1.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.000000000000000000	0	2
FLOP	LOW	LOW	0.857142865657806400	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	0.142857149243354800	0.002058	2
