Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
i													
yoghurt	PREFLOP	LOW	LOW	0.0	0.0	0.5	0.0	0.0018281535648994515	0.0	0.0	0.5	9.128251939753537E-4
jester	PREFLOP	LOW	LOW	0.0	0.2	0.1	0.0	6.418898185008359E-4	5.398064705669634E-4	0.0	0.9	0.004623028292893482
TheBaiter	PREFLOP	LOW	LOW	0.030303030303030304	0.24242424242424243	0.6060606060606061	0.0	0.0022021014079085183	0.002089211376701166	0.0	0.36363636363636365	0.006233730282875085
JaVa-D	PREFLOP	LOW	LOW	0.03636363636363636	0.2909090909090909	0.509090909090909	0.03636363636363636	0.0031920520042765486	0.0037518546920194728	0.0	0.38181818181818183	0.005770903706420101
Stubs	PREFLOP	LOW	LOW	0.06666666666666667	0.26666666666666666	0.45	0.05	0.0025149330720193	0.0028716429555754566	0.0	0.38333333333333336	0.003932036786558594
fff	PREFLOP	LOW	LOW	0.0	0.5	0.0	0.0	5.560189046427579E-4	0.0	0.0	1.0	0.001261266416868213
LoneWolf	PREFLOP	LOW	LOW	0.0	0.0	0.4	0.0	0.003835543460600291	0.003278595535231313	0.0	0.6	0.0039573247048245675
Sho-Nuff	PREFLOP	LOW	LOW	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0010690902235019882	2.678081722199369E-4	0.0	0.3333333333333333	0.01966921646610365
Chundarr	PREFLOP	LOW	LOW	0.06299212598425197	0.23622047244094488	0.3858267716535433	0.023622047244094488	0.0041487687238883145	0.008076176566873847	0.0	0.47244094488188976	0.004238970183684788
grimace	PREFLOP	LOW	LOW	0.07246376811594203	0.14492753623188406	0.391304347826087	0.0	0.00361393984919575	0.0038192592720877805	0.0	0.4927536231884058	0.004712257470982091
maddog45	PREFLOP	LOW	LOW	0.0	0.5	0.5	0.0	0.0014527205493924987	0.0010272285516444827	0.0	0.5	0.0010582010582010583
Forbes	PREFLOP	LOW	LOW	0.07272727272727272	0.18181818181818182	0.1	0.045454545454545456	0.004039217734488714	0.00661130869169879	0.0	0.7181818181818181	0.004694815040897359
westimle	PREFLOP	LOW	LOW	0.02727272727272727	0.15454545454545454	0.2	0.07272727272727272	0.0034120923480103773	0.0034442125535416755	0.0	0.6818181818181818	0.00491970242089967
blachjac	PREFLOP	LOW	LOW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.011437455478564952
Ed	PREFLOP	LOW	LOW	0.058823529411764705	0.17647058823529413	0.17647058823529413	0.0	0.0027549439761839225	0.0036119060470020904	0.0	0.7058823529411765	0.004017551495463366
Whale	PREFLOP	LOW	LOW	0.0	0.5	0.25	0.0	0.0012233111844617208	0.0014311603475420753	0.0	0.75	0.004819094082903719
pkrBRAT	PREFLOP	LOW	LOW	0.041666666666666664	0.14583333333333334	0.2708333333333333	0.0	0.002599188286761307	0.002490517808042546	0.0	0.6458333333333334	0.004679139669474555
supe	PREFLOP	LOW	LOW	0.0	0.0	0.25	0.0	0.00749063670411985	0.0	0.0	0.75	0.0038925116805788727
Alicia	PREFLOP	LOW	LOW	0.2	0.2	0.2	0.0	8.348988048975153E-4	1.7426399601285078E-7	0.0	0.4	0.0018942305929084576
