Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
i	i	i	i										
TheBaiter	PREFLOP	LOW	MEDIUM	0.0	0.5	1.0	0.0	0.003029637245408169	0.0032637151541939713	0.0	0.0	0.0
JaVa-D	PREFLOP	LOW	MEDIUM	0.0	0.0	0.7777777777777778	0.0	0.005177031838247542	0.0037938618262826607	0.0	0.2222222222222222	0.003087354975119353
Stubs	PREFLOP	LOW	MEDIUM	0.1	0.275	0.525	0.025	0.005127281979979095	0.005217940683652286	0.0	0.275	0.004727751568289465
Sho-Nuff	PREFLOP	LOW	MEDIUM	0.0	1.0	1.0	0.0	0.016666666666666666	0.011785113019775792	0.0	0.0	0.0
Chundarr	PREFLOP	LOW	MEDIUM	0.08571428571428572	0.2857142857142857	0.45714285714285713	0.0	0.00443951393495107	0.004748956713474565	0.0	0.37142857142857144	0.004073429682723546
grimace	PREFLOP	LOW	MEDIUM	0.15	0.15	0.5	0.0	0.004541644279781233	0.0036606222321254136	0.0	0.2	0.0019153289605785997
Forbes	PREFLOP	LOW	MEDIUM	0.2222222222222222	0.3333333333333333	0.05555555555555555	0.0	0.0031759460539703545	0.0024195052744589384	0.0	0.5	0.007215110797168883
westimle	PREFLOP	LOW	MEDIUM	0.15384615384615385	0.23076923076923078	0.46153846153846156	0.0	0.003155616008885979	0.0020485697637150522	0.0	0.23076923076923078	0.00445122530841655
AAAA	PREFLOP	LOW	MEDIUM	0.0	0.0	1.0	0.0	0.0040650406504065045	0.0	0.0	0.0	0.0
Ed	PREFLOP	LOW	MEDIUM	0.0	0.0	0.75	0.0	0.006667339039395433	0.0015498121737518983	0.0	0.25	0.0026954177897574125
pkrBRAT	PREFLOP	LOW	MEDIUM	0.06666666666666667	0.3333333333333333	0.26666666666666666	0.0	0.0034537201682756525	0.004372905739941731	0.0	0.6	0.006001127380662368
Alicia	PREFLOP	LOW	MEDIUM	0.0	0.0	0.5	0.0	0.003683241252302026	0.0	0.0	0.5	0.0018298261665141812
ritten	PREFLOP	LOW	MEDIUM	0.0	0.0	1.0	0.0	0.003947206118169483	0.0	0.0	0.0	0.0
OBITRNY	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.001548786990029409
yowassup	PREFLOP	LOW	MEDIUM	0.18181818181818182	0.36363636363636365	0.0	0.0	8.99639154301889E-4	0.0010524419622497002	0.0	0.6363636363636364	0.002767703494129073
Undergrnd	PREFLOP	LOW	MEDIUM	0.0	0.0	1.0	0.0	0.01602403605408112	0.0	0.0	0.0	0.0
neo	PREFLOP	LOW	MEDIUM	0.0	0.0	0.6666666666666666	0.0	0.00508486222771937	0.0017178588607160035	0.0	0.3333333333333333	0.05122950819672131
Riker	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	1.0	0.10636114911080712	0.0	0.0	0.0	0.0
dogfish2	PREFLOP	LOW	MEDIUM	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	0.0
madamlash	PREFLOP	LOW	MEDIUM	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.003095982650995052	4.792542803397923E-6	0.0	0.5714285714285714	0.0022339329252631644
Roadkill	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.03527957398250285
rg1_454	PREFLOP	LOW	MEDIUM	0.0	0.2	0.8	0.2	0.006346014018991206	0.007608608875727706	0.0	0.0	0.0
Bulle	PREFLOP	LOW	MEDIUM	0.0	0.09090909090909091	0.5454545454545454	0.0	0.007070420649918604	0.0053108196574873845	0.0	0.45454545454545453	0.004165405480707779
Roma	PREFLOP	LOW	MEDIUM	0.14285714285714285	0.5714285714285714	0.42857142857142855	0.0	0.008164138760159286	0.016072282216073465	0.0	0.2857142857142857	0.0020260940677065986
roket88	PREFLOP	LOW	MEDIUM	0.0	0.21428571428571427	0.5	0.0	0.003950458781691074	0.0026048730426396	0.0	0.5	0.007117563027551045
Ahole	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.004045052841370991
ten3	PREFLOP	LOW	MEDIUM	0.2	0.2	0.0	0.2	0.01345390495293156	0.010969432903242118	0.0	0.4	0.009965305026640784
FycipS	PREFLOP	LOW	MEDIUM	0.07692307692307693	0.3076923076923077	0.46153846153846156	0.0	0.004798358684850878	0.004246840860045249	0.0	0.46153846153846156	0.0029391045587838973
LiLQueeN	PREFLOP	LOW	MEDIUM	0.0	0.3333333333333333	0.3333333333333333	0.0	0.004032258064516129	0.002851237020913498	0.0	0.6666666666666666	0.012944983818770227
NewJane1	PREFLOP	LOW	MEDIUM	0.0	0.0	0.6666666666666666	0.0	0.020562648288329002	0.004594584416073515	0.0	0.3333333333333333	0.007858546168958742
g333	PREFLOP	LOW	MEDIUM	0.0	0.5	1.0	0.0	0.004104939814583368	0.0024218440797814226	0.0	0.0	0.0
dreyton00	PREFLOP	LOW	MEDIUM	0.25	0.5	0.25	0.25	0.0038726653167810866	0.0018548590257294092	0.0	0.0	0.0
FastEddie	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.006309148264984227
Toddler	PREFLOP	LOW	MEDIUM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.005838926174496644
bobk	PREFLOP	LOW	MEDIUM	0.0	0.2	0.2	0.6666666666666666	0.005774211797013295	0.005136582224134076	0.0	0.2	0.001692257987185792
