Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
													
yoghurt	RIVER	LOW	LOW	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
yoghurt	PREFLOP	LOW	LOW	0.0000	0.0000	0.0000	0.5000	0.0032	0.0000	0.0000	0.5000	0.0005
yoghurt	TURN	LOW	LOW	0.5000	0.0000	0.5000	0.0000	0.0046	0.0000	0.0000	0.0000	0.0000
yoghurt	FLOP	LOW	LOW	0.5000	0.2500	0.0000	0.0000	0.0074	0.0000	0.0000	0.2500	0.0141
jester	PREFLOP	LOW	LOW	0.1579	0.3684	0.0000	0.0000	0.0044	0.0021	0.0000	0.6842	0.0092
jester	TURN	LOW	LOW	0.5000	0.0000	0.5000	0.0000	0.0063	0.0000	0.0000	0.0000	0.0000
jester	FLOP	LOW	LOW	0.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.0220
TheBaiter	TURN	LOW	HIGH	0.4815	0.3333	0.1481	0.0370	0.1431	0.1515	0.0000	0.0000	0.0000
TheBaiter	PREFLOP	LOW	MEDIUM	0.0870	0.3913	0.4348	0.0870	0.0138	0.0192	0.0000	0.3478	0.0174
TheBaiter	TURN	LOW	LOW	0.4500	0.3000	0.1500	0.0000	0.0519	0.0460	0.0000	0.1000	0.0384
TheBaiter	FLOP	LOW	HIGH	0.6571	0.2286	0.1143	0.0000	0.0240	0.0276	0.0000	0.0000	0.0000
TheBaiter	RIVER	HIGH	HIGH	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TheBaiter	RIVER	MEDIUM	LOW	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TheBaiter	RIVER	LOW	MEDIUM	0.8571	0.1429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TheBaiter	RIVER	LOW	LOW	0.3333	0.5833	0.0833	0.0000	0.0022	0.0038	0.0000	0.0000	0.0000
