Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
													
npc	PREFLOP	LOW	LOW	0.1579	0.2632	0.1053	0.0000	0.0392	0.0416	0.0000	0.6316	0.0215
pogo	PREFLOP	LOW	LOW	0.0000	0.2857	0.0714	0.3571	0.0180	0.0268	0.0000	0.5714	0.0128
jism	PREFLOP	LOW	LOW	0.0000	0.3158	0.0000	0.0000	0.0045	0.0062	0.0000	1.0000	0.0216
jmike	PREFLOP	LOW	LOW	0.0952	0.3095	0.2143	0.0000	0.0378	0.0377	0.0000	0.5952	0.0265
Richard	PREFLOP	LOW	LOW	0.0909	0.2727	0.0909	0.0000	0.0408	0.0300	0.0000	0.7273	0.0489
mrPink	FLOP	HIGH	MEDIUM	0.6364	0.0909	0.1818	0.0909	0.0258	0.0170	0.0000	0.0909	0.0212
mrPink	PREFLOP	LOW	LOW	0.0952	0.3175	0.2222	0.0159	0.0249	0.0373	0.0000	0.5873	0.0150
Schween	FLOP	HIGH	MEDIUM	0.8000	0.1000	0.0500	0.0000	0.0371	0.0101	0.0000	0.0500	0.0087
Schween	PREFLOP	LOW	LOW	0.0838	0.3234	0.1138	0.1138	0.0184	0.0223	0.0000	0.6228	0.0251
Schween	PREFLOP	LOW	MEDIUM	0.0000	0.8462	0.1538	0.2308	0.0621	0.0563	0.0000	0.4615	0.0552
Schween	FLOP	MEDIUM	MEDIUM	0.5833	0.0833	0.0000	0.0833	0.0192	0.0055	0.0000	0.2500	0.0086
kman	PREFLOP	LOW	LOW	0.0806	0.3226	0.0968	0.1290	0.0383	0.0800	0.0000	0.6290	0.0165
burtikus	PREFLOP	LOW	LOW	0.0727	0.3455	0.1091	0.1273	0.0194	0.0284	0.0000	0.6364	0.0217
burtikus	PREFLOP	LOW	MEDIUM	0.2105	0.5789	0.1579	0.0526	0.0660	0.0436	0.0000	0.2632	0.0063
deadhead	PREFLOP	LOW	MEDIUM	0.1667	0.5000	0.2500	0.2500	0.0351	0.0356	0.0000	0.2500	0.0110
