Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
i	i	i	i										
jester	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TheBaiter	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JaVa-D	FLOP	LOW	LOW	0.8235294117647058	0.0	0.17647058823529413	0.0	0.007151457085960953	0.006258901744124301	0.0	0.0	0.0
Stubs	FLOP	LOW	LOW	0.75	0.08333333333333333	0.16666666666666666	0.0	0.002061358917438137	0.0012858350749553658	0.0	0.0	0.0
LoneWolf	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sho-Nuff	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chundarr	FLOP	LOW	LOW	0.7777777777777778	0.1111111111111111	0.07407407407407407	0.0	0.0028777041119336134	0.0023113518986904477	0.0	0.037037037037037035	0.00967741935483871
grimace	FLOP	LOW	LOW	0.7777777777777778	0.0	0.2222222222222222	0.0	0.014017044726387286	0.004501473792131231	0.0	0.0	0.0
Forbes	FLOP	LOW	LOW	0.7692307692307693	0.0	0.07692307692307693	0.0	0.009216589861751152	0.0	0.0	0.15384615384615385	0.012013875930338914
westimle	FLOP	LOW	LOW	0.8888888888888888	0.0	0.1111111111111111	0.0	0.0017252820172528201	0.0	0.0	0.0	0.0
blachjac	FLOP	LOW	LOW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0031029619181946405
Ed	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pkrBRAT	FLOP	LOW	LOW	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.00205799812909261
Alicia	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ritten	FLOP	LOW	LOW	0.3333333333333333	0.1111111111111111	0.3333333333333333	0.0	0.009354580776779026	0.005869014137234876	0.0	0.2222222222222222	0.006417721442290797
Santa666	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
beaker	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brummie	FLOP	LOW	LOW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.002564102564102564
KTo	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raven56	FLOP	LOW	LOW	0.5	0.0	0.5	0.0	0.0018281535648994515	0.0	0.0	0.0	0.0
fossilman	FLOP	LOW	LOW	0.5	0.5	0.0	0.0	0.0020964360587002098	0.0	0.0	0.0	0.0
yowassup	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Undergrnd	FLOP	LOW	LOW	0.75	0.25	0.0	0.0	0.05196304849884527	0.0	0.0	0.0	0.0
Riker	FLOP	LOW	LOW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0027106633654913346
dogfish2	FLOP	LOW	LOW	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0017804154302670622
ZenPoker	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roadkill	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bulle	FLOP	LOW	LOW	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.005421330319452917
Roma	FLOP	LOW	LOW	0.5	0.16666666666666666	0.16666666666666666	0.0	0.006634519092611138	0.00243283842034223	0.0	0.16666666666666666	0.002912621359223301
roket88	FLOP	LOW	LOW	0.7142857142857143	0.0	0.07142857142857142	0.0	0.00641025641025641	0.0	0.0	0.21428571428571427	0.008129190893730693
Ahole	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
robertha	FLOP	LOW	LOW	0.6	0.2	0.2	0.0	0.0020937168092832453	0.001177546401587414	0.0	0.0	0.0
PoorHouse	FLOP	LOW	LOW	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.01853460758760498
FycipS	FLOP	LOW	LOW	0.5	0.0	0.5	0.0	0.0035914958058379195	0.0026774190233881936	0.0	0.0	0.0
NewJane1	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g333	FLOP	LOW	LOW	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.015053763440860216
dreyton00	FLOP	LOW	LOW	0.6	0.0	0.4	0.0	0.01069928470072373	0.007835322886881248	0.0	0.0	0.0
FastEddie	FLOP	LOW	LOW	0.5	0.25	0.25	0.0	0.0022199927647796203	1.4407342907380772E-4	0.0	0.0	0.0
Babe	FLOP	LOW	LOW	0.5	0.0	0.5	0.0	0.015159435441714584	0.0	0.0	0.0	0.0
Toddler	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GoingNow	FLOP	LOW	LOW	0.0	0.0	1.0	0.0	0.006572769953051643	0.0	0.0	0.0	0.0
bobk	FLOP	LOW	LOW	0.6	0.1	0.1	0.0	0.005507020761615201	0.00128761147891478	0.0	0.2	0.001372013643133742
kurt	FLOP	LOW	LOW	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
