Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
i	i	i	i										
TheBaiter	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JaVa-D	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stubs	FLOP	LOW	MEDIUM	0.8333333333333334	0.0	0.16666666666666666	0.0	0.04708182912154031	0.0	0.0	0.0	0.0
Chundarr	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grimace	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Forbes	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
westimle	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAA	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ed	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pkrBRAT	FLOP	LOW	MEDIUM	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.004651162790697674
yowassup	FLOP	LOW	MEDIUM	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.007612456747404845
Undergrnd	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neo	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
madamlash	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bulle	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roma	FLOP	LOW	MEDIUM	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.004545454545454545
roket88	FLOP	LOW	MEDIUM	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.017683499770557
ten3	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FycipS	FLOP	LOW	MEDIUM	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.020669023660592874
LiLQueeN	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NewJane1	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g333	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bobk	FLOP	LOW	MEDIUM	0.6	0.4	0.0	0.0	0.0033213870366871293	1.3870084954518123E-4	0.0	0.0	0.0
bigslick	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cutegirl	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rjruler	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hero}666	FLOP	LOW	MEDIUM	0.8	0.2	0.0	0.0	0.0045871559633027525	0.0	0.0	0.0	0.0
fFish	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moose2	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PearlJam	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Muck_it	FLOP	LOW	MEDIUM	0.5	0.0	0.5	0.0	0.009881422924901186	0.0	0.0	0.0	0.0
teroki	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Loboc	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BigStuff	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TinaB	FLOP	LOW	MEDIUM	0.0	0.0	1.0	0.0	0.0027033355328976777	0.0	0.0	0.0	0.0
opaz	FLOP	LOW	MEDIUM	0.5	0.5	0.0	0.0	0.04302996975529282	0.0	0.0	0.0	0.0
beefcAKe	FLOP	LOW	MEDIUM	0.0	1.0	0.0	0.0	0.015192926045016077	0.0	0.0	0.0	0.0
RALPH36	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KrisP	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fia	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SWF	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
saku	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
riverbob	FLOP	LOW	MEDIUM	0.8	0.0	0.2	0.0	0.007554945054945055	0.0	0.0	0.0	0.0
Deichkind	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CKRAIZ	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TimBo3	FLOP	LOW	MEDIUM	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
