Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
i	i	i	i										
TheBaiter	PREFLOP	LOW	HIGH	0.0	0.0	0.3333333333333333	0.0	0.001148105625717566	0.0	0.0	0.6666666666666666	0.004146151852811609
JaVa-D	PREFLOP	LOW	HIGH	0.0	0.0	1.0	0.0	0.004703133152593125	9.030224000649064E-6	0.0	0.0	0.0
Stubs	PREFLOP	LOW	HIGH	0.25	0.25	0.5	0.0	0.01113889688850766	0.00421100499178131	0.0	0.0	0.0
Chundarr	PREFLOP	LOW	HIGH	0.09090909090909091	0.18181818181818182	0.7272727272727273	0.0	0.014436272593991445	0.009039512455484826	0.0	0.09090909090909091	0.007577850574258989
grimace	PREFLOP	LOW	HIGH	0.17647058823529413	0.29411764705882354	0.5882352941176471	0.0	0.0025812967544514426	0.002738873477305509	0.0	0.11764705882352941	0.004438596248547557
Forbes	PREFLOP	LOW	HIGH	0.3333333333333333	0.3333333333333333	0.0	0.0	0.006756756756756757	0.0	0.0	0.3333333333333333	0.0020161290322580645
westimle	PREFLOP	LOW	HIGH	0.0	0.0	0.6666666666666666	0.0	0.03355670689034153	0.0206117230715713	0.0	0.3333333333333333	0.003115264797507788
pkrBRAT	PREFLOP	LOW	HIGH	0.0	1.0	1.0	0.0	0.005050505050505051	0.003571246369629028	0.0	0.0	0.0
ritten	PREFLOP	LOW	HIGH	0.0	0.0	1.0	0.0	0.007973122496788226	1.58926074434549E-5	0.0	0.0	0.0
Roma	PREFLOP	LOW	HIGH	0.14285714285714285	0.42857142857142855	0.5714285714285714	0.0	0.003592144829138978	0.0019291147106653159	0.0	0.14285714285714285	0.0036068530207394047
Ahole	PREFLOP	LOW	HIGH	0.2	0.3	0.4	0.0	0.0028410920620650106	0.004082874133500814	0.0	0.2	0.0015485871465468247
FycipS	PREFLOP	LOW	HIGH	0.0	0.16666666666666666	0.3333333333333333	0.0	0.005599621205336742	0.002287300293321424	0.0	0.6666666666666666	0.01060748025888084
g333	PREFLOP	LOW	HIGH	0.0	1.0	1.0	0.0	0.002008032128514056	0.0014198931349127459	0.0	0.0	0.0
dreyton00	PREFLOP	LOW	HIGH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00839801650337789
oh_well	PREFLOP	LOW	HIGH	0.0	0.5	0.5	0.0	0.00718954248366013	0.005083774243824851	0.0	0.5	0.014588859416445624
hero}666	PREFLOP	LOW	HIGH	0.125	0.125	0.75	0.0	0.002368558534615383	7.92059096667201E-4	0.0	0.0	0.0
RaZer	PREFLOP	LOW	HIGH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.020858209446919882
gwilly	PREFLOP	LOW	HIGH	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0013400456827633762	5.470937383007159E-4	0.0	0.3333333333333333	0.004073319755600814
PearlJam	PREFLOP	LOW	HIGH	0.14285714285714285	0.2857142857142857	0.42857142857142855	0.0	0.00514321418425942	0.0029624223160384035	0.0	0.2857142857142857	0.010132750164389878
teroki	PREFLOP	LOW	HIGH	0.16666666666666666	0.3333333333333333	0.5	0.0	0.0020114795161144754	0.0014482393069974212	0.0	0.16666666666666666	0.0025252525252525255
SleepySam	PREFLOP	LOW	HIGH	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.002525309590526982	8.530687878513967E-4	0.0	0.0	0.0
Loboc	PREFLOP	LOW	HIGH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.014084507042253521
opaz	PREFLOP	LOW	HIGH	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.0	0.0024257685890512505	0.001609316184821416	0.0	0.5	0.009148474498390536
beefcAKe	PREFLOP	LOW	HIGH	0.0	1.0	1.0	0.0	0.004850689707442777	0.003429955585564578	0.0	0.0	0.0
RALPH36	PREFLOP	LOW	HIGH	0.0	0.0	1.0	0.0	0.0030757400999615533	0.0	0.0	0.0	0.0
pat	PREFLOP	LOW	HIGH	0.0	0.0	0.5	0.0	0.011976047904191617	0.0	0.0	0.5	0.011976047904191617
Fia	PREFLOP	LOW	HIGH	0.2	0.6	0.6	0.0	0.0037403478983866743	0.002199537172413305	0.0	0.0	0.0
saku	PREFLOP	LOW	HIGH	0.2	0.6	0.6	0.0	0.004724315439445688	0.003128451701932363	0.0	0.0	0.0
riverbob	PREFLOP	LOW	HIGH	0.0	0.3333333333333333	1.0	0.0	0.0076276333928485835	0.003209993784252738	0.0	0.0	0.0
TimBo3	PREFLOP	LOW	HIGH	0.125	0.375	0.5	0.0	0.00473930605634959	0.0049159752451987246	0.0	0.25	0.008275918419754816
Jdock	PREFLOP	LOW	HIGH	0.0	0.16666666666666666	0.8333333333333334	0.0	0.0065269058427503855	0.004232573359925312	0.0	0.16666666666666666	0.0032414910858995136
sharons	PREFLOP	LOW	HIGH	0.06666666666666667	0.3333333333333333	0.5333333333333333	0.0	0.004187477252789305	0.0023112105993311925	0.0	0.3333333333333333	0.002976055210810672
ihan	PREFLOP	LOW	HIGH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.06847133757961783
rab	PREFLOP	LOW	HIGH	0.0	0.2	0.8	0.0	0.003752364666447265	0.0012865077323952554	0.0	0.2	0.0017905102954341987
Bumper	PREFLOP	LOW	HIGH	0.25	0.25	0.5	0.0	0.008916000061070777	0.004156744011611837	0.0	0.0	0.0
Call_any	PREFLOP	LOW	HIGH	0.3333333333333333	0.3333333333333333	0.0	0.0	0.002008032128514056	0.0	0.0	0.3333333333333333	0.0020161290322580645
