Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2 3 4 5
												class
PREFLOP	LOW	HIGH	0.000000000000000000	0.000000000000000000	0.333333343267440800	0.000000000000000000	0.00114811	0	0.0	0.666666686534881590	0.00414615	1
PREFLOP	LOW	HIGH	0.000000000000000000	0.000000000000000000	1.000000000000000000	0.000000000000000000	0.00470313	9.03022e-006	0.0	0.000000000000000000	0	5
PREFLOP	LOW	HIGH	0.250000000000000000	0.250000000000000000	0.500000000000000000	0.000000000000000000	0.0111389	0.004211	0.0	0.000000000000000000	0	4
PREFLOP	LOW	HIGH	0.090909093618392944	0.181818187236785890	0.727272748947143550	0.000000000000000000	0.0144363	0.00903951	0.0	0.090909093618392944	0.00757785	5
PREFLOP	LOW	HIGH	0.176470592617988590	0.294117659330368040	0.588235318660736080	0.000000000000000000	0.0025813	0.00273887	0.0	0.117647059261798860	0.0044386	4
PREFLOP	LOW	HIGH	0.333333343267440800	0.333333343267440800	0.000000000000000000	0.000000000000000000	0.00675676	0	0.0	0.333333343267440800	0.00201613	4
PREFLOP	LOW	HIGH	0.000000000000000000	0.000000000000000000	0.666666686534881590	0.000000000000000000	0.0335567	0.0206117	0.0	0.333333343267440800	0.00311526	5
PREFLOP	LOW	HIGH	0.000000000000000000	1.000000000000000000	1.000000000000000000	0.000000000000000000	0.00505051	0.00357125	0.0	0.000000000000000000	0	2
PREFLOP	LOW	HIGH	0.000000000000000000	0.000000000000000000	1.000000000000000000	0.000000000000000000	0.00797312	1.58926e-005	0.0	0.000000000000000000	0	5
PREFLOP	LOW	HIGH	0.142857149243354800	0.428571432828903200	0.571428596973419190	0.000000000000000000	0.00359214	0.00192911	0.0	0.142857149243354800	0.00360685	4
PREFLOP	LOW	HIGH	0.200000002980232240	0.300000011920928960	0.400000005960464480	0.000000000000000000	0.00284109	0.00408287	0.0	0.200000002980232240	0.00154859	4
