Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt	cluster
PREFLOP FLOP TURN RIVER	LOW MEDIUM	LOW HIGH MEDIUM	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	1 2
												class
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.500000000000000000	0.000000000000000000	0.00182815	0	0.0	0.500000000000000000	0.000912825	1
PREFLOP	LOW	LOW	0.000000000000000000	0.200000002980232240	0.100000001490116120	0.000000000000000000	0.00064189	0.000539806	0.0	0.899999976158142090	0.00462303	2
PREFLOP	LOW	LOW	0.030303031206130981	0.242424249649047850	0.606060624122619630	0.000000000000000000	0.0022021	0.00208921	0.0	0.363636374473571780	0.00623373	1
PREFLOP	LOW	LOW	0.036363635212182999	0.290909081697463990	0.509090900421142580	0.036363635212182999	0.00319205	0.00375185	0.0	0.381818175315856930	0.0057709	1
PREFLOP	LOW	LOW	0.066666670143604279	0.266666680574417110	0.449999988079071040	0.050000000745058060	0.00251493	0.00287164	0.0	0.383333325386047360	0.00393204	1
PREFLOP	LOW	LOW	0.000000000000000000	0.500000000000000000	0.000000000000000000	0.000000000000000000	0.000556019	0	0.0	1.000000000000000000	0.00126127	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.400000005960464480	0.000000000000000000	0.00383554	0.0032786	0.0	0.600000023841857910	0.00395732	2
PREFLOP	LOW	LOW	0.333333343267440800	0.333333343267440800	0.000000000000000000	0.000000000000000000	0.00106909	0.000267808	0.0	0.333333343267440800	0.0196692	2
PREFLOP	LOW	LOW	0.062992125749588013	0.236220479011535640	0.385826766490936280	0.023622047156095505	0.00414877	0.00807618	0.0	0.472440958023071290	0.00423897	1
PREFLOP	LOW	LOW	0.072463765740394592	0.144927531480789180	0.391304343938827510	0.000000000000000000	0.00361394	0.00381926	0.0	0.492753624916076660	0.00471226	1
PREFLOP	LOW	LOW	0.000000000000000000	0.500000000000000000	0.500000000000000000	0.000000000000000000	0.00145272	0.00102723	0.0	0.500000000000000000	0.0010582	1
PREFLOP	LOW	LOW	0.072727270424365997	0.181818187236785890	0.100000001490116120	0.045454546809196472	0.00403922	0.00661131	0.0	0.718181788921356200	0.00469482	2
PREFLOP	LOW	LOW	0.027272727340459824	0.154545456171035770	0.200000002980232240	0.072727270424365997	0.00341209	0.00344421	0.0	0.681818187236785890	0.0049197	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	1.000000000000000000	0.0114375	2
PREFLOP	LOW	LOW	0.058823529630899429	0.176470592617988590	0.176470592617988590	0.000000000000000000	0.00275494	0.00361191	0.0	0.705882370471954350	0.00401755	2
PREFLOP	LOW	LOW	0.000000000000000000	0.500000000000000000	0.250000000000000000	0.000000000000000000	0.00122331	0.00143116	0.0	0.750000000000000000	0.00481909	2
PREFLOP	LOW	LOW	0.041666667908430099	0.145833328366279600	0.270833343267440800	0.000000000000000000	0.00259919	0.00249052	0.0	0.645833313465118410	0.00467914	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.250000000000000000	0.000000000000000000	0.00749064	0	0.0	0.750000000000000000	0.00389251	2
PREFLOP	LOW	LOW	0.200000002980232240	0.200000002980232240	0.200000002980232240	0.000000000000000000	0.000834899	1.74264e-007	0.0	0.400000005960464480	0.00189423	2
PREFLOP	LOW	LOW	0.052631579339504242	0.315789461135864260	0.789473712444305420	0.000000000000000000	0.00573998	0.0200799	0.0	0.210526317358016970	0.00593657	1
PREFLOP	LOW	LOW	0.000000000000000000	0.111111111938953400	0.333333343267440800	0.000000000000000000	0.00135136	0.000335077	0.0	0.666666686534881590	0.00227038	2
PREFLOP	LOW	LOW	0.000000000000000000	0.333333343267440800	0.500000000000000000	0.166666671633720400	0.00538188	0.00510026	0.0	0.333333343267440800	0.00500656	1
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.500000000000000000	0.000000000000000000	0.00453515	0	0.0	0.500000000000000000	0.00224215	1
PREFLOP	LOW	LOW	0.200000002980232240	0.200000002980232240	0.200000002980232240	0.000000000000000000	0.00509655	0.00384342	0.0	0.400000005960464480	0.00382396	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.333333343267440800	0.000000000000000000	0.00224467	0	0.0	0.666666686534881590	0.00224341	2
PREFLOP	LOW	LOW	0.000000000000000000	0.250000000000000000	0.250000000000000000	0.000000000000000000	0.00227924	0.00161167	0.0	0.750000000000000000	0.00344716	2
PREFLOP	LOW	LOW	0.125000000000000000	0.250000000000000000	0.250000000000000000	0.000000000000000000	0.0077922	0.00490036	0.0	0.500000000000000000	0.00403731	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.000000000000000000	0.000000000000000000	0	0	0.0	1.000000000000000000	0.00518628	2
PREFLOP	LOW	LOW	0.115384615957736970	0.192307695746421810	0.115384615957736970	0.000000000000000000	0.00296681	0.00298351	0.0	0.653846144676208500	0.00387993	2
PREFLOP	LOW	LOW	0.111111111938953400	0.222222223877906800	0.555555582046508790	0.111111111938953400	0.00670567	0.0107237	0.0	0.111111111938953400	0.00865651	1
PREFLOP	LOW	LOW	0.090909093618392944	0.181818187236785890	0.181818187236785890	0.090909093618392944	0.0133633	0.0103623	0.0	0.545454561710357670	0.00625948	2
PREFLOP	LOW	LOW	0.000000000000000000	0.000000000000000000	0.333333343267440800	0.000000000000000000	0.000421407	0	0.0	1.000000000000000000	0.00493637	2
PREFLOP	LOW	LOW	0.000000000000000000	1.000000000000000000	1.000000000000000000	0.000000000000000000	0.00231481	0.00163682	0.0	0.000000000000000000	0	1
PREFLOP	LOW	LOW	0.000000000000000000	0.166666671633720400	0.250000000000000000	0.000000000000000000	0.0027595	0.00287479	0.0	0.750000000000000000	0.00502613	2
